"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"97463","46646","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Metal ETF","INF247L01HG7","Equity ETFs","N","Y","Metal"
"97464","46647","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Oil & Gas ETF","INF247L01HH5","Equity ETFs","N","Y","Energy"
"97466","46608","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE Insurance ETF","INF109K1A567","Equity ETFs","Y","Y","Insurance"
"97468","46617","29993","Edelweiss Mutual Fund","Edelweiss BSE Top 10 Bank ETF","INF754K01XH9","Equity ETFs","Y","Y","Banks"
"97477","46620","18585","DSP Mutual Fund","DSP BSE MidSmall Private Banks ETF","INF740KA1ZH9","Equity ETFs","Y","Y","Banks"
"97527","46685","18585","DSP Mutual Fund","DSP Nifty 10 Yr Benchmark G-Sec ETF","INF740KA1ZI7","Debt ETFs","Y","Y","Government Securities"
"97528","46699","28628","Mirae Asset Mutual Fund","Mirae Asset BSE LargeMid (60:40) Stab. Div. 50 ETF","INF769K01RK3","Equity ETFs","Y","Y","Broad Market"
"97529","46645","95467","Jio Blackrock Mutual Fund","JioBlackRock Nifty 50 ETF","INF22M001184","Equity ETFs","Y","Y","Broad Market"
"97530","46630","27488","Invesco Mutual Fund","Invesco India Nifty Bank ETF","INF205KA1CB9","Equity ETFs","N","Y","Banks"
"97531","46631","27488","Invesco Mutual Fund","Invesco India BSE Sensex ETF","INF205KA1CA1","Equity ETFs","Y","Y","Broad Market"
