"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"93642","544568","undefined","DSM Fresh Foods Ltd","DSM Fresh","Company","INE0SUM01015","M","160.67","Small Cap","MAN","00000027","FMCG","00000157","Food - Processing - Others","Y","N","Active","Not Listed"
"93845","93845","JAINIK","Jainik Power Cables Ltd","Jainik Power","Company","INE0XIL01012","undefined","304.89","Small Cap","MAN","00000040","Metal","00000005","Aluminium - Sheets / Coils / Wires / Others","N","Y","Not Listed","Active"
"94129","94129","MAYASHEEL","Mayasheel Ventures Ltd","Mayasheel Vent.","Company","INE0ZTO01018","undefined","82.69","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","N","Y","Not Listed","Active"
"94139","94139","NBHBOA2032","Nifty Bharat Bond - April 2032","Nifty Bond Apr32","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"94243","94243","NIFTYRURAL","Nifty Rural","Nifty Rural","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"94301","544433","undefined","Valencia India Ltd","Valencia India","Company","INE130701019","M","24.18","Small Cap","MAN","00000039","Hospitality","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"94324","94324","AVIENCE","Avience Biomedicals Ltd","Avience Biomedi.","Company","INE0V9I01017","undefined","140.36","Small Cap","MAN","00000030","Healthcare","00000317","Trading - Medium / Small","N","Y","Not Listed","Active"
"94370","890230","undefined","Ace Software Exports Ltd Partly Paidup","Ace Software PP","Company","IN9849B01026","XT","55.29","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","N","Active","Not Listed"
"94497","94497","WHITEFORCE","Happy Square Outsourcing Services Ltd","Happy Square","Company","INE0TLP01015","undefined","45.82","Small Cap","MAN","00000039","Services","00000329","Miscellaneous - Medium / Small","N","Y","Not Listed","Active"
"94616","94616","GML","Galaxy Medicare Ltd","Galaxy Medicare","Company","INE09A801015","undefined","28.07","Small Cap","MAN","00000030","Healthcare","00000189","Medical Accessories / Disposables","N","Y","Not Listed","Active"
"94631","544384","SILVERCASE","Zerodha Silver ETF","Zerodha ETF","Company","INF0R8F01091","E","undefined","undefined","undefined","00000069","ETF","undefined","undefined","Y","Y","Active","Active"
"95344","544673","undefined","Modern Diagnostic & Research Centre Ltd","Modern Diagnost.","Company","INE1HK501016","M","77.01","Small Cap","undefined","00000030","Healthcare","00000343","Diagnostic Services","Y","N","Active","Not Listed"
"95396","544547","JKIPL","Jinkushal Industries Ltd","Jinkushal Indus.","Company","INE1FF001016","B","392.88","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","Y","Active","Active"
"95398","544542","undefined","Justo Realfintech Ltd","Justo Realfin","Company","INE0W5Q01017","M","208.36","Small Cap","MAN","00000051","Realty","00000077","Construction - Factories / Offices / Commercial","Y","N","Active","Not Listed"
"79036","79036","CLSL","Crop Life Science Ltd","Crop Life Scienc","Company","INE00NH01017","undefined","137.12","Small Cap","MAN","00000001","Agro Chemicals","00000219","Pesticides / Agrochemicals - Indian - Medium/Small","N","Y","Not Listed","Active"
"79037","543928","undefined","Cosmic CRF Ltd","Cosmic CRF","Company","INE0ORA01015","MT","1155.38","Small Cap","MAN","00000057","Steel","00000260","Steel - Medium / Small","Y","N","Active","Not Listed"
"80607","80607","SIDDHICOTS","Siddhi Cotspin Ltd","Siddhi Cotspin","Company","INE0SVO01019","undefined","66.63","Small Cap","MAN","00000062","Textiles","00000293","Textiles - Cotton Yarn - Open-Ended Spinning","N","Y","Not Listed","Active"
"87111","87111","SJLOGISTIC","S J Logistics (India) Ltd","S J Logistics (I","Company","INE0F3301020","undefined","559.43","Small Cap","MAN","00000036","Logistics","00000329","Miscellaneous - Medium / Small","N","Y","Not Listed","Active"
"91708","544257","undefined","Sodhani Academy of Fintech Enablers Ltd","Sodhani Academy","Company","INE0Q3401017","M","85.99","Small Cap","MAN","00000073","Education","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"91812","544107","BLSE","BLS E-Services Ltd","BLS E-Services","Company","INE0NLT01010","B","2910.13","Small Cap","SOFTWARE","00000034","IT - Software","00000334","IT Enabled Services / Business Process Outsourcing","Y","Y","Active","Active"
"92681","544204","VRAJ","Vraj Iron & Steel Ltd","Vraj Iron","Company","INE0S2V01010","B","400.57","Small Cap","MAN","00000057","Steel","00000263","Steel - Sponge Iron","Y","Y","Active","Active"
"92697","92697","ENFUSE","Enfuse Solutions Ltd","Enfuse Solutions","Company","INE0S3X01014","undefined","135.37","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","N","Y","Not Listed","Active"
"92699","544231","undefined","Broach Lifecare Hospital Ltd","Broach Lifecare","Company","INE0SFZ01018","M","11.05","Small Cap","MAN","00000030","Healthcare","00000167","Hospitals / Medical Services","Y","N","Active","Not Listed"
"92845","544413","DIGITIDE","Digitide Solutions Ltd","Digitide Solutio","Company","INE0U4701011","B","1450.1","Small Cap","SOFTWARE","00000034","IT - Software","00000334","IT Enabled Services / Business Process Outsourcing","Y","Y","Active","Active"
"92984","544213","undefined","Aelea Commodities Ltd","Aelea Commoditi.","Company","INE0T3401029","M","280.27","Small Cap","MAN","00000027","FMCG","00000157","Food - Processing - Others","Y","N","Active","Not Listed"
"92991","92991","NEPHROCARE","Nephro Care India Ltd","Nephro Care","Company","INE0SUN01013","undefined","147.55","Small Cap","MAN","00000030","Healthcare","00000167","Hospitals / Medical Services","N","Y","Not Listed","Active"
"93186","544353","undefined","Amwill Health Care Ltd","Amwill Health","Company","INE0U2L01017","M","87.02","Small Cap","MAN","00000046","Pharmaceuticals","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"93248","93248","PRANIK","Pranik Logistics Ltd","Pranik Logistics","Company","INE0VJG01014","undefined","46.24","Small Cap","MAN","00000036","Logistics","00000320","Transport - Road","N","Y","Not Listed","Active"
"93341","544267","undefined","Subam Papers Ltd","Subam Papers","Company","INE0U6201010","M","605.51","Small Cap","MAN","00000042","Packaging","00000211","Packaging - Others","Y","N","Active","Not Listed"
"94067","544411","SCODATUBES","Scoda Tubes Ltd","Scoda Tubes","Company","INE090501011","B","772.82","Small Cap","MAN","00000057","Steel","00000269","Steel - Tubes / Pipes","Y","Y","Active","Active"
"94077","544508","undefined","Vashishtha Luxury Fashion Ltd","Vashishtha Lux.","Company","INE0WRP01016","M","15.55","Small Cap","MAN","00000062","Textiles","00000309","Textiles - Embroidery Fabric","Y","N","Active","Not Listed"
"94235","94235","NTYS250Q50","Nifty Smallcap250 Quality 50","Nifty Sml250Q50","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"94250","544503","undefined","Rachit Prints Ltd","Rachit Prints","Company","INE0ZN101029","MT","88.85","Small Cap","MAN","00000062","Textiles","00000305","Textiles - Processing","Y","N","Active","Not Listed"
